new_target,clean_translation
uwandọn,period preceding christmas
uwan-egbele,oldeniandia spp plant
uwan-guẹ,common salt
uwanran,reply
uwẹngin,to fabricate stories or tale
uwẹrẹ,there
uwonko,period of time
uwonko,how much more or less
uwọ,you
uwonron,angelic
uya,suffer
uya,suffering
uyajijẹ,persecution
uya-irọn,comb
uya-sẹ,stride
uya-sẹ,accelerate
uya-sin,petition
uye,salvation
uyere,pit
uyere,gutter
uyere-gede,abyss
uyiri,praise
uyọ-ẹyẹn,sieve or filter
uşa,clay pot
uşe,character
uşegin,axe
mo re ubo uşẹ,iam going to work
uşẹrẹ,sunbird
uşi,dye
uşobirẹn,water yam
uşukpẹnrẹn,pen
uşuşẹ,hoe
uşuşu-biri-itọ,snakes general
ugha,premises
ugha,compound
wo wa ri ughe,you will see wonders
ughegbe,mirror
ughegbe-eju,spectacles
ughemughe,faraway
ughemughe,distant
ẹnẹ wa de ọlaja ni ughere aja,we shall wait for the olu at the community entrance
ugho,hole
ughogho,gourd
ughogho,calabash
ughọ,navel
ughọ,human body
ughọnrun,by product from raffia for weaving mats
ughugha,plane for smoothening wood
ughumeni,rhaphostatis beneisis spices for menu
wofẹ biri emi kpa ukpa ọkan,you want to act as me
noun,ancient
ukpaja,early morning between
ukpali,parcel
ukpamaku,zinc
ukpamaku,metal plates
ukpanju,caution
ukpanju,warning
ukpanrun,lips
ukpari,six yards of sewn cloth
ukpasun,soup laden
ukpaşan,whip
ukperi wi origho ọghanran,the curse is on our enemies
ukpe-ọfọ,phonetics
ukpe-jọ,congress
ukpe-ọrọnfọ,belief
ukpete,bush cane cost us
ukpẹ,cotton lint
ukpẹ,kitchen rack
ukpẹ,mantel
ukpẹ,soul
ukpẹ,gecko
ukpẹ,heftiness
ukpẹ,pillow
ukpiti,bundle
ukpo,bed
ukpokiti,mountain
ukpokiti,hill
ukpona,fan
ukpokporu,pebbles
ukpokporu,stones
ukpọdu,a fish chest for storing or preserving dry fish
ukpọọmajẹ,metal chest for storing valuable
ukpọnma,piece of cloth for supporting a backed baby
ukpukpẹ,war dance
ukpukpọrọn,stone
ukpukpọrọn,stoney
ukpukpọrọn,heavy
ugba,circle
ugbafẹrẹ,electric fan
ugbagidije,several times
ugbajọ,gathering
ugbajọ,organisation
ugbakeji,second time
ugbakeji,twice
ugbakẹ,once
ugbakẹta,third time
ugbakẹta,thrice
public ,public
otẹ araro ni ugbamugba,he disgraced himself publicly
ugban-ẹkoro,brush
ugban-nọ,whale fish
ugbarajọ,congregation
ugbere,sports field
ugbesin,confrontation
ugbẹ,forgetfulness
ugbẹjọ,judgement
ugbẹ,long joggers used by masquerades
ugbẹyin,afterwards
ugbẹyin,after thought
ugbẹwọ,arm
ugbo,farm land
ugbọgbọ-ebebe,the magnified ebebe
ugbogbori,comb of a cock
ugbonmi,bowl for bailing water
ugbọdugbọdu,bryophyllum spp
ugbọfun,throat
ugbogbo,rod
ugbọkan,once
ugbaọkaaru,fifth time
ugbakẹ,tenth time
ugbueju,audacity
ugbueju,boldness
ugbugba,seine net or drag or draw net
ugburẹ,parcel
iwe ro ka şe vẹ kẹ ,it has a broad leaf
wo ma lude wo wa ri odo vẹ eyin,when you burst out you will see an expanse of sea
ọwurọwurọ vuan gege ẹ nẹ wa ti no,we shall take off early in the morning
nikọ wo gba mi vuanvuan?,why are you panting
vuẹn,sound from chatter of a monkey
terrificspeed ,restlessness in human
wa ni ubowe,come here
wain,wine
wan ekeregbe rẹn ni origho,hit the goat on its head
wan uko ẹrọso ọkan gba mi,give me a cup measure of rice
ẹsẹn mi wana,i have dislocated my leg
wana kuri ara,separate them
wanawana,bright
wanawana,shine
wanawana,sparkling
waranti,warrant
wave a ka şe,this is how it is done
we aşọ ghan mara,wrap the clothes together
egbẹn we ka şe weleke,the wound is wide open
wemara,furl
wemara,fold up
mo biẹ wewe ọnọ gbẹ mi,please show me the way
o ka şe mi ilẹ wẹ n,it was like a flash in my eyes
ọfọ ro wẹ wẹ ngin rẹn,it is a fabricated story
mo biẹ wẹẹn mi ogho,ilend him money
ọ gbọ itsekiri wẹ lẹwẹlẹ,he understands itsekiri perfectly well
flash ,flash
o ka şe mi eju wẹ n,it was like a flash in my eyes
ọfọ ro we iwẹ ngin rẹn,it is a fabricated story
wiliwili,swimming like a fish
winọrọn,in heaven above
winọghọn,moan
wiyanyan,well
ẹkpeti ye wo o,the box is heavy
wolo ẹkun we,break the door
ẹ gbẹ n we ka riwoloko,the wound is huge
wonọ,spread
wowo,publicise
wowo,advertise
wọ,enter
wọli,get in the house
wọlọwọlọ,ripples
wọnwọn,perfect infest
jẹ di omi rẹn ka şe wọrọwọrọ?,let it be a tepid water
iratiode ọbẹ ọnẹ ee nọ a ma gin o wọrun,it is when we lost our old used knife we realize its importance
jọlọ wu gbọ,shout louder
wu-titan-titan,scream
wutuwutu,robust
ubo tiwuwu ee gha,where there is no love
wuwu ma kpin ọtọn egbele,when the shout is too much for the chicken
wukpe,call upon
ya şi,write it down
se ọjẹ we to ya,cook the food quickly
nikọ re si gbe ẹ gba şe yabayaba we?,why are you panicking
we ne mi yagada ni ọkọ meeji,you can not spread your legs wide open over two boats
wide ,wide
ẹgbẹn rẹn ka şe yaghala,the sore is very wide
yaghala-yaghala,disarray
di ọma ka yan ẹyan iyo,a child sucks the mother breast
wo ka biri emi yan ẹja we,please assist me in drying the fish
garbage ,garbage
eju ee ri yankunyankun,the eyes does not see garbage
inọliẹmẹbirẹn we ka şe yanwunyanwun,that woman house is filthy
yanyan-eju,dangle
we ka yara to!,you are not smart enough
a ma to ubo iponi di o ka yarale ni oniye,iponi is very hospitable
yasẹn,stride
yaya,spread
yaya,squander
yaya,disperse
ọnẹ tio ma kpa tioritşẹ ọrọnfọ  wa ye,those who believe in god shall be saved
igariwe ye ju,the gari is too much
noun,understand
ti wo gin we ye mi,i understand what you are saying
wo yẹ ẹnẹ,well suitable
mo ka yẹẹ ukpokporu,i avoided the stone
ọfọ rẹ we ka şe mi yedegha,iam confused at your statements
yeghe,incise
datu yere ẹrin we,repeat the song
an,an exclamation of a surprise
ubo dede ka kọn yerere ti ẹnẹ gba gbọgua,everybody shouted for joy to hear of our victory
o yẹle di a re,it is proper we attend
yẹlẹyẹlẹ,common
yẹmẹtẹ,immobile
egbele mi yẹn ẹghẹn,my hen laid an egg
ẹguale rẹn ku yẹnghẹnyẹnghẹn,the snake was dead and lifeless
mo ka yẹrẹ şi ẹyin ẹkun,i hid behind the door
biri mo yẹsẹn gege  uja ka kpe,immediately i left there was a fight
yẹwuyẹwu,puff-up like cotton wool
yẹwuyẹwu,fuzzy
ma gba mi şiyẹyẹ,turn twist roll
yibẹlẹkẹbẹlẹkẹ,meander
yidẹ,turn back reverse
yidẹde,turn upside
yidẹde,capsize
yíguo,to throw oneself on the bed
yin,uproot
yinyin,the act of angling
a gba mu ọşẹ gbẹ ee yinmi,when he was given a blow he never quivered or moved
wo ka yinyẹn mi gba ubo dede,you narrated my story every where
yiri,praise
yist,yeast
yiwe,write
favour ,favour
ayẹ ee yo mi,kindness does not favour me
yoboyobo,panic stricken
yogholo,gaunt
yọ,pull out
slippery ,slippery
alẹ we yọọ,the ground is slippery
uge ghan dede we  mo yọju,i was not present in all the ceremonies
ọdẹ ma lẹfun di ebirẹn yọle,women always welcome the ọdẹ
ọlogho ẹbirẹn yọle,women flock at wealthy men
yọlokpolokpo,superlative for smooth
ujo ren yọn,the dance was interesting
quiet,quiet walk
quiet,sneek
a gba dẹbi gbẹ o ka rẹn yọghọrọ gba re,after blaming him he walked quietly away
yunivasti,university
yurodẹ,turn
yurodẹ,convert zz
zanyọn,zion
şa,trim
strew ,strew
o ka şaka ara ro dede,she strewed him with her teeth
şakaşaka,coarse
şalẹ,come down
şan,bend
şaninọ,show mercy
şannọ,fling
şanma,amble
me wa şe wẹrẹ juwẹrẹ,i will not do it next time
şebinọ,angry
şebinọ,annoyed
şẹbọrọbọrọ,be careful
şejẹ ke,that is alright
şeleko re şe ẹja uruba,it is by chance the uruba catches fish
şekpe,swear
şewasere,finality
şebalẹ,inception
şẹ,break
şẹde,secretive
şẹju,blink
şẹku,crash
şẹku,accidental
şẹkpẹn,crash
şẹkpẹnkpẹn,brittle
şẹşẹ,flies
mo fẹ şiiron,i want to dye my hair
şiale,walk down
şiale,come down
straggle,straggle
oka gba ẹsẹn şibe,he straggled
şibu,fall
şibu,fallen
şibọghọ,balance
şibọghọ,reminant
şidakun,genuflect 
şikalẹ,sit
şikọ,obstruct
şikọşikọ,intermittent obstruction or jerking
şikuọni,melancholia
lay,lay on top
egin ma şile egin,when one tree falls on another tree
şilẹ,futile
şiliwọ,rape
şimo,turn up one nose in mockery
ma jẹ di a şin ọkọ gbẹ ni ẹwọ rẹ,do not allow them snatch your husband
şinọ,open up
ukpo şişan,bare bed
şişi,alike
şişi,similar
şinşin,bedbug
mẹ ta şiwẹn,no credit facility
şobite,defecate
şobite,pass faeces
şobite,kputẹ
şode,to menstruate
şomi,move into water
ọkpọkurọkan şogholo,only one
şọ,poke
şọ ọn idale,look at the other side
şọ,vigilant
şọnmi,look at me
şọrọ ẹgin,split the wood
şu,defecate
şubi-şure,atrocious
inọ ro kage şuugen,he has a protuberant belly
şuşẹ,tool for craft
mo şuşu ọna rẹn,i have missed my way
şuşu-bobo,astray
şuşubitọ,snakes particularly young gh gh
şuşubitọ,is the second diagraph when ts is in use gh is pronounced h-e like kn- knife
şuşubitọ,ph philosophy
gha egin we di o sẹngua,smooth en the wood beautifully
gha ọjẹ we ni ẹwo tietie,share the soup into smaller pots
ulẹsun emẹbirẹn we ka le gba se ghagha,the lady head tie is tough and stiff
ẹsẹn ro ka şe ghalaba-ghalaba,he has bent legs
ghalaghala,disorganise
catch,catch
kẹkẹ ọmatie rẹn gba şibu to ale mo ka ghan gbẹ,i caught the child before he fell to the ground
wo ma şekpe  wo ka ghanran mi kuri nọ,i must be exempted from your curse
ghara,stay out
gharaghara,tough and coarse
biriọj ghawe,presently as it is now
ghele,you just look at it
gheleghele,actually
tinkle ,tinkle
etinmi kaşe ghere,my ear tinkled
ghereghere,active
ghereghere,sharp
ghereghere,get excited
ejuro ka şe ghereke,he has a squint
irọn baba ka fẹẹn ghẹghẹ,the papa hair is white
ghẹghẹ le ubo ọkan,do not handle itcarelessly
ghẹnrẹnghẹnrẹn,sparkling
ghẹrẹ-ghẹrẹ,gradual
ghigho,old
gho,look
gho,see
e ghogho şe,it was not done wilfully
ra niẹja tia ghoro bọghọ,buy from the fish being peddled
ghọ,bend
mo ghọn obiriki mi,i weaved my fishing net
o tun ghọnghọn,it is very cold
ghọnghọnrọn,grumble
ghọnghọnrọn,murmur
kpa,kill
orukọ,delete his her name
a kpaa umalẹ-okun dia gba ri urunjejẹ,the sea god was appeased for provision
kpabu arun,close up your mouth
kpa-ẹbobo,astonish
kpa-ẹbobo,amaze
lacerate,lacerate
aa rikpala gbẹ ni ẹsẹn akaraba,nothing to lacerate from the legs of hammer headed stock
kpakakpaka,coarse
kpalekpale,habitual
kpalekpale,constant
kpalekpale,incessant
kpan omi niuşa,fetch water into the pot
jọlọ kpan ọmawe,back up the child
kpanran,abort
kpanran,abortion
kpanran,miscarriage
kparan-eju sin,to warn someone reprimand
iwe ilemẹ we kpaşi,the lime leaves drooped
kpaşolo,trim
kpatako,bony
kpakpayẹkẹ,ducks
kpakpadedekpakpadede,hide and seek
kpasiri,silence
kpasiri,serene
kpawọ,intrude
kpawọ,butt in
ra kpee gbẹ mi,go and call him for me
kpeju gba uboro,take his place instead
kpejutoma,every day
kpejutoma,daily occurrence
kpejule,entice with the eye
kpemo,straw
kpeniọjẹjẹ,an invitee to the table
kpenọrọnfọ,faith
kperegede,suddenly
kperegede,abrupt
kpere,only see şogholo
orişe wa kpese gb regbẹ rẹ,god will reward you
kperekete,dawn
kpetekpete,loud and clear
kpegbẹ,atrophy
kpegbẹ,shrink
kpegbẹ,shrivel see sọgbẹ
kpe-ọyọn,abscess
wo kpẹ ni eyin,you delayed
ma gba uşa mi kpẹdede,do not use my clay pot doing balancing on your head
ọbẹ we kaşe kpẹki,the knife is blunt
kpẹlẹkpẹlẹ,slowly
kpẹlẹkpẹlẹ,step by step
kpẹn ọjẹ we,share the food
eja kpẹnkpẹn,crisp fish
kpẹnkpẹnrẹn,delicate
kpẹnrun,unkempt
kpẹnrẹnkpẹnrẹn,sprouting grass
ilọlikpẹtẹ?,a bungalow
kpẹtẹsi,storey building
kpẹtẹkpẹtẹ,self controlled
kpẹtẹkpẹtẹ,relax
kpẹtẹkpẹtẹ,calm
kpẹtẹkpẹtẹ,meek
kpiara,get up
ẹdọn mi luu kpikpi,my heart throbs
urẹn kpin mi,iam tired of walking
uli ro kpinma temi,his house is close to mine
geesimisi kpinmalẹ,christmas is approaching
kpira,often emphasis laid when one says kpira a wira
kpirakpira,recurrent
kpirakpira,all the time
kpirigidi,suddenly
kpirigidi,instantly
kpitekun,lie
kpitekun,lying
kpişa,braided hair
kpiti,twist
kpiti,entwine
kpitikpiti,disorder
kpo isẹmẹti biri ibu tẹnrẹn  di we simu omi ni,mix the cement and the sand first before adding water
ọfọ we kpo mi,i find it difficult to understand your word
ọfọ ro dede kpobokpobo won ka şe,his words are unstable
kpogẹn,solitary
kpogẹn,singular
kpoghoro,alone
kpokpo ẹye ee jamọ kan,the stress of life has not helped matters
wo kpokpo ara rẹ ju,you worry too much
kpooyin,mute
kpooyin,dead
kpooyin,silence
baba kporo,big basin
a je da kpoto ọfọ we tẹnrẹn,firstly let us discuss the issues
kpowe,allude
kpowe,insinuate
kpọdọn,yearly
kpọdọn,every year
kpokpokpo nesin e wuli?,kpokpo who is home
kpọọjọ,alternate days
kpọru,sullen
kpọru,sad
kpọru,weary
kpọtọkpọtọ,tender
kpuarere,silence
kpukpa,compete
kpukpu ibu kuri ararẹ,shake off the dust from your body
kpuru,disc
gba,take
robust ,robust
o ka şe gbada,she is robust
eju gbada,stern looking eyes
gbadatulu,in addition
gbadatulu,secondly
gbafẹrẹ,to relax
gbafẹrẹ,especially in a reclining position
gbamima-şearema,pretext
gbagbaragba,expansive
gbagọọ,clamour
gbajọ,collectively
gbalaja,broad
gbalaja,expanse
gbalaja,wide
terrific wonderful ,terrific
terrific wonderful ,wonderful
urun gbalogbalo,terrific things
gbagbako,face-to-face
gban,stricken with fear
gbanara,compatible
abrasive ,abrasive
wo ka şe gbangban,blow shake willow
ọsa we ka dọn gbangban,the orange had a sharp or sour taste
gbakpan,bald
gbaani,sharpen
gbannọ,wave off
purify,purify
wo ka gbanra tẹnrẹn di we w li,purify yourself before entering the house
gbanwangbanre,swing
gbanyan,hustle
gbara-realẹ,humble
gbanyin,stout and elegant
gbawagbare,tale bearing
chorusing,chorusing
aghan gbe ẹrin we,join in the chorus
gbe ọma we re,carry the child
orişe re gbe e,god came to rescue him or her
ma ra ẹja to gbe,do not buy rotten fish
gbee a şe oku oniyoko,this is the final burial of the gorilla
a ka gbeda ni uja-ere,he was defeated in the wrestling
gbe-ẹ,succeed
gbe-ẹ,to raise hands up
gbegbere,lean on
gbegberegbesigbe,forever and ever
gbeghegbeghe,feebleness
weighdown ,weighdown
ilosigbejọṇ,the fever weighed him down
gbejule,expect
gbejule,rely on
gbejuma,all night
wo ka gbele ọwarẹ,you should care for your father
mo biẹ wa gbele mi,please assist me with the load
ikoki mi jio yẹẹ a gbeeni,my dislocated hip was fixed up
gbelẹsi,contravene
gberaga,exaltation
gbesin,attack
gbesin,criticize
gbesin,counter
gbewun-abiuwan,stratagem
gbẹ,dry
gbẹdọn,boastful
forget,forget
mo gbẹgbe,i forgot
gbẹji,fulfilled
gbẹjọ,judge
gbẹkẹ,satisfied
mindful ,mindful
emi ma gin ma gbẹle  urun wa bajẹ,if i am mindful of his deeds things would go wrong
gbẹn,plant
gbẹn,sow
mo gbẹnmi ekutele,i smell a rat
gbẹnẹmi,excuse me
o şibu gbi,it fell down gbi
ikurusu ka winọ fọ gbidi,the cannon sounds gbidi
gbidigbidi,muddy
gbigbin,groan
ọmi gbigbọ,hot water
gbi gbin ro ee je mi sun,his groaning disturbed my sleep
gbo,bark
gbo,barking
gbo-eju,audacity
gbofia,wandering aimlessly
mo wa gbogbowe,i will be back in a jiffy
gbolo,writhe
mo gboro ẹ sẹ n mi,i rubbed my legs
mo gbọ ọfọ rẹ ,i hear you
gbọdudu,very hot
gbọ,luke warm
o ka susun gbọ dọ ,he lied flat
gbọ,perceive
emi re gbọ gua ni udangho,i took first position
gbọ,long
gbọ,hear
gbọ,tough
gbọ,acute
ọ jẹ gbọ nrọ n,the soup is boiling
we gbọ nrọ n?,do you hear me
gbọ,sacrifice
gbọ,homage
gbu-ara,hard working
gbu-ara,diligent
gbu-ara,assiduous
gbudia,shut up
gbuẹju,bold
gbukpo,accession
gbusiẹ,adamant
gbusiẹ,mute
gbugbuda,speechless
ọjuşẹ,monday
ọjuşẹ,tuesday
ọjuşẹ,wednesday
ọjuşẹ,thursday
ọjijala-isoja,friday
ọjijala-tie,saturday
ọjijala-kporo,sunday ọnọrọn tiowi ọdọn
uwan-ọdọn,january
ọnọrọn-eji,february
ọnọrọn-ẹta,march
ọnọrọn-eren,april
ọnọrọn-aru,may
ọnọrọn-ẹ,june
ọnọrọn-eje,july
ọnọrọn-ẹjọ,august
ọnọrọn-ẹ,september
ọnọrọn-egua,october
ọnọrọn-ogbo,november
ọnọrọn-ọdọn,december uka
ọkẹẹrẹn,fourth
ọkaaru,fifth
ọkẹfa,sixth
ọkẹẹjọ,eight
ọkẹẹsan,ninth
ọkanlẹẹgua,eleventh
ejile-ẹgua,twelfth
ẹtale-ẹgua,thirteenth
ẹrẹn-leẹgua,fourteenth
aru-leẹgua,fifteenth
ẹfa-leẹgua,sixteenth
eje-leẹgua,seventeenth
ẹjọ-leẹgua,eighteenth
ẹsan-le-ẹ-gua,nineteenth
ogun,twentieth
ọsa,father
ọsakporo,grandfather
ọsalila,great grandfather
ẹgharẹ,great great grandfather
ẹgharẹ-kporo,g g g grandfather
ẹgharẹ-lila,g g g g grandfather
ẹgharẹ-ikaanghori,g g g g g g grandfather
ẹgharẹ-ẹkoghori,g g g g g g g grandfather
ẹgharẹ-ijile,g g g g g g g grandfather
ẹgharẹ-ìşẹbalẹ,g g g g g g g g grandfather ebi-ore
ore,mother
ore-kporo,grandmother
ore-lila,great grandmother
ogbokposo,g g grandmother
agbẹdẹ-owun-aja,literature
aruliọfọ,clause
ejuli-ọfọ,phrase
ọşere,actor
ẹrin-oku,funeral dirge
ẹgburọfọ,syllable
ẹkori,paragraph
ọnọruko,noun
ọjoruko,pronoun
aşuli-ọfọ,verb
agha-şuli-ọfọ,adverb
aghannọ-ruko,adjective
ugha,preposition
ọgọfọ,object
ẹkpedeọfọ,subject
amiuwanli,plan
amiuwẹnri,map
amiewe-uro,design
ukọbuori,apostrophe
ejikigin,colon
ilesin,semi colon
ẹsẹn-uli,street number
urọ-ọne,signature
urọ-oye,oral comprehension
uya-oye,written comprehension
jọn,type
ya,sign
aşikigin,first degree
ọma,dot
ọwewe,article
ukutẹ-oşẹri,certificate
kpe-abidi,spell
ẹsẹn,verse usẹn
jisọs,jesus
kraist,christ
amọyọsi,holy ghost spirit
uguẹfẹn,sanctification
ẹgede,cave
egin-figi,fig tree
vani,vine
ugba-vani,vineyard
ọkpadidẹn,hell
ọlupkiọrọnfọ,believer
uli-usẹn,temple
aredẹbo,unlimited
ọmurẹn,pilgrim
umurẹn,pilgrimage
bowunjẹ,blasphem
aşekinuya,miracle
ọmẹrẹn-ẹşu,demon
ọmẹrẹn-ẹşu,principalities
ọgbomi,baptist
gbomi,baptize
lusifa,lucifer
imurẹnwọ,crusade
ugbiẹmi,revival
umọna,programme/contents
origho,chapter
ọgbiyẹnrẹn,evangelist
ọkpusẹn,pastor
ọnọgusẹn,apostle
ẹgharẹ-usẹn,elder
olorị-ọkpanran,high priest
ọjẹ-ọluwa,holy communion
ujọ-agbẹdudẹrini,political party
ujọ,party
abejuto,caretaker
ọşẹ-ẹşi,legislator
ọdero,executive
ọgbuliẹwuşẹ,contractor
aşejuẹghoro,councilor
ọlaşẹ,commissioner
ulierolila,national assembly
ọriunẹ,aspirant
ụriẹri,business
ẹghoro-aşẹ,headquarter
ukalẹ-aşẹ,capital city
uwowolọ,campaign
ọwowolọ,campaigner
odiaga,acting
imuloghan,budget
şunẹ,vote
ọşunẹ,voter
ọmẹsi,lawyer
ọkpiẹjọ,plaintiff
ọşidibiẹ,criminal
ọnirosin,suspect
ọgbabojọ,organizer
ọyiwe-ogho,financial secretary
imuẹghando,foundation stone
ọlọgua,flag bearer
ọlokpuşẹ,prison warder
ọgbẹjo,magistrate
oloriọgbẹjọ,president customary court
olori-odiẹguari,chief judge
ẹgari-ukutẹ,supreme court
ẹguari-ụşe-aja,customary court
olori-ọgbẹjọ,chief magistrate
ode-ẹguarị,judge
ẹguari-lila,high court ọfo urun omirẹn bọbọ
ugbo,port ship
ugbo,plane
ugbo-ọkalẹ,garage
ugbo-ọkalẹ,car park
iguagun,wharf
ikpalẹma,closing ceremony
abẹtẹ-uşẹ,office
abẹtẹ-ero,conference room hall
igirigi,wardrobe
işu-alikpakpa,brick
ọgbiyẹ,reporter
usiomiya,kettle
onikululu,gulley
igbuwanlẹ,survey
ọgbuwanlẹ,surveyor
ugiẹji,toothbrush
ọruiyẹ,broadcaster
ọfẹ,editor
ọlori-ọfẹ,chief editor
uwowo,announcement
umọ,identity card
imaşini-ọgbaghiwe,photocopying machine
ọroya,calculator
ọluşoye,computer
uliufẹmaa,laboratory
uge-igbawọ,convocation ceremony
ọguọnurẹn,train
ọkalẹibu,tipper
ọkalẹ-ẹrun,lorry
ọkalẹ-gbọọrọ,trailer
ọkalowo,commercial car
ọgbọkunamọ,pilot
ọjọlọ-ọkale,car mechanic
uge-imuowoghan,trade fair
uja-ọşẹ,boxing
ọja-ọşẹ,boxer
ọlọkpa-ọkalẹ,trafficwarder
akpatẹ,ceiling board
ọjogunibo,guerilla warfare
okpo,antenna mast
ayo-ukere,barb wire
ọlọkpa-uguọna,road marshal
ọjogun-omi,navy
ọjogunkpoẹre,airforce
ọkpuna,fire brigade
ọguọkọ-alẹ,driver
ọbejutọkurọn,nurse
ọşọnbo,inspect inspector
ọgbinegin,carpenter
ẹrede,balcony
utialẹ,rug
isọnarun,snacks
usọnjẹ,fertilizer
ẹkpetin-ẹgboro,speaker box
ọşẹrẹ,adolescent
aji-owun,tape
aji-owun,recorder
ẹkpetin-alawari,radio
ukpali-ẹgho,video tape
ukpali-owun,audio tape cassette
we nemi wa gba gbẹ ẹja ni adagba mi,you can not take fish from my adagba
abọnẹje ee san to ọnẹ,a backbiter is never better off
